zip,crime_count,population,crime_rate
60601,1916,14804,129.42447987030533
60602,1809,1142,1584.0630472854639
60603,945,1275,741.1764705882354
60604,843,687,1227.0742358078603
60605,3612,32077,112.60404651307792
60606,753,3298,228.32019405700424
60607,4625,29990,154.21807269089697
60608,6094,83689,72.81721612159305
60609,6673,61861,107.87087179321382
60610,3302,42422,77.8369713827731
60611,4388,34562,126.96024535617151
60612,6889,33908,203.16739412528017
60613,3115,53282,58.46252017566908
60614,4166,72119,57.76563734938089
60615,5195,41767,124.38049177580386
60616,5543,53085,104.41744372233211
60617,9475,84193,112.53904718919624
60618,4735,95078,49.80121584383348
60619,10652,63481,167.7982388431184
60620,11430,69357,164.79951554998055
60621,6284,26538,236.79252392795235
60622,4954,54650,90.64958828911253
60623,9371,77352,121.1474816423622
60624,8478,36986,229.2218677337371
60625,4181,80028,52.24421452491628
60626,4237,50295,84.24296649766379
60628,9457,64489,146.64516429158462
60629,7871,107487,73.22746006493809
60630,2632,55591,47.345793383821125
60631,838,30589,27.395468959429863
60632,5327,87395,60.95314377252703
60633,723,12674,57.04592078270475
60634,3435,77520,44.311145510835914
60636,5371,30412,176.60791792713405
60637,8002,49514,161.61085753524256
60638,3006,58959,50.98458250648756
60639,6229,89037,69.95967968372699
60640,5100,67936,75.07065473386717
60641,4332,71003,61.01150655606101
60642,2556,21374,119.58454196687563
60643,4448,49796,89.32444373042011
60644,7505,47630,157.56875918538734
60645,2362,48585,48.6158279304312
60646,813,29326,27.722839800859305
60647,6016,85564,70.30994343415455
60649,7940,48973,162.130153349805
60651,7312,64638,113.1223119527213
60652,2553,43485,58.70989996550534
60653,4830,34519,139.92294098902053
60654,3076,21859,140.72006953657532
60655,854,28751,29.70331466731592
60656,936,28665,32.6530612244898
60657,4690,72113,65.03681721742267
60659,2116,43729,48.38894097738343
60660,2422,44972,53.85573245575025
60661,1117,11073,100.87600469610764
60666,1167,0,
60707,1085,41309,26.265462732092278
60827,1253,26010,48.17377931564783
